Apartment,Address,Price,Beds,Amenities
Cortland Bayport,"10510 Parkers Landing Dr, Tampa, FL 33615","$1,569 - $9,939",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Town Westshore,"5001 Bridge St, Tampa, FL 33611","$1,646 - $4,334",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Bainbridge at Westshore Marina,"5350 Bridge St, Tampa, FL 33611","$2,190 - $10,705",1-3 Beds,"['Pets Allowed', 'Pool', 'Dishwasher', 'In Unit Washer & Dryer']"
Progress Village,"6101 Innovation Way, Tampa, FL 33619","$1,599 - $2,515",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
The Henry,"100 E Tyler St, Tampa, FL 33602","$1,180 - $2,869",1-4 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Gray,"510 N Rome Ave, Tampa, FL 33606","$2,120 - $5,284",1-3 Beds,"['Dogs Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
AVLI AT CROSSTOWN CENTER,"9539 Delaney Creek Blvd, Tampa, FL 33619","$1,825 - $3,330",1-3 Beds,"['Pets Allowed', 'Clubhouse', 'High-Speed Internet', 'Stainless Steel Appliances']"
Legacy Encore,"1251 Ray Charles Blvd, Tampa, FL 33602","$1,681 - $3,585",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Trails at Hunters Lake,"8500 Hunters Village Rd, Tampa, FL 33647","$1,488 - $2,591",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Irving Place North Rocky Point,"4911 Webb Rd, Tampa, FL 33615","$1,725 - $2,432",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
